Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,02/12/2018,"FRED-MEYE FRED MEYER 0 CORVALLIS OR          02/10",-11.99,DEBIT_CARD,957.41,,
DEBIT,02/12/2018,"SUBWAY        03035730 CORVALLIS OR          02/10",-4.99,DEBIT_CARD,969.40,,
DEBIT,02/12/2018,"PITA PIT - 00-009 CORVALLIS OR               02/09",-5.00,DEBIT_CARD,974.39,,
DEBIT,02/09/2018,"7201 Dominos Pizza CORVALLIS OR              02/08",-6.59,DEBIT_CARD,979.39,,
DEBIT,02/09/2018,"CAMPUS DOWNWARD DOG CORVALLIS OR             02/08",-4.50,DEBIT_CARD,985.98,,
DEBIT,02/09/2018,"MCMENAMINS ON MONROE CORVALLIS OR            02/09",-6.00,DEBIT_CARD,990.48,,
DEBIT,02/09/2018,"SUBWAY        03035730 CORVALLIS OR          02/08",-4.99,DEBIT_CARD,996.48,,
DEBIT,02/08/2018,"SUBWAY        03035730 CORVALLIS OR          02/07",-4.99,DEBIT_CARD,1001.47,,
DEBIT,02/08/2018,"SQ *THE BEAVER HUT Corvallis OR              02/07",-3.00,DEBIT_CARD,1006.46,,
DEBIT,02/07/2018,"FRED-MEYE FRED MEYER 0 CORVALLIS OR          02/07",-16.72,DEBIT_CARD,1009.46,,
DEBIT,02/07/2018,"SUBWAY        03035730 CORVALLIS OR          02/06",-6.00,DEBIT_CARD,1026.18,,
DEBIT,02/06/2018,"VESTA  *T-MOBILE 888-278-3397 OR             02/06",-25.75,DEBIT_CARD,1032.18,,
DEBIT,02/06/2018,"FRED MEYE FRED MEYER 0 CORVALLIS OR          02/05 Purchase $2.49 Cash Back $20.00",-22.49,DEBIT_CARD,1057.93,,
DEBIT,02/06/2018,"SUBWAY        03035730 CORVALLIS OR          02/05",-5.99,DEBIT_CARD,1080.42,,
DEBIT,02/06/2018,"BURGER KING #13938 CORVALLIS OR              02/04",-5.49,DEBIT_CARD,1086.41,,
DEBIT,02/05/2018,"CIRCLE K 00292 1467 NW CORVALLIS OR          02/05 Purchase $2.09 Cash Back $10.00",-12.09,DEBIT_CARD,1091.90,,
DEBIT,02/05/2018,"FRED MEYER FRED MEYER CORVALLIS OR   215386  02/04",-1.50,DEBIT_CARD,1103.99,,
DEBIT,02/05/2018,"3102PEPSIVEN9147678600 CORVALLIS OR          02/04",-1.75,DEBIT_CARD,1105.49,,
DEBIT,02/05/2018,"SUBWAY        03035730 CORVALLIS OR          02/04",-8.29,DEBIT_CARD,1107.24,,
DEBIT,02/05/2018,"MCDONALD'S F14142 CORVALLIS OR               02/03",-4.00,DEBIT_CARD,1115.53,,
DEBIT,02/05/2018,"USPS PO 40187205 311 S CORVALLIS OR  540434  02/03",-17.30,DEBIT_CARD,1119.53,,
DEBIT,02/05/2018,"FRED-MEYE FRED MEYER 0 CORVALLIS OR          02/02",-7.17,DEBIT_CARD,1136.83,,
DEBIT,02/05/2018,"PITA PIT - 00-009 CORVALLIS OR               02/02",-5.00,DEBIT_CARD,1144.00,,
DEBIT,02/05/2018,"CAMPUS DOWNWARD DOG CORVALLIS OR             02/01",-8.25,DEBIT_CARD,1149.00,,
DEBIT,02/02/2018,"ROCKYMTN/PACIFIC POWER BILL 274524761ACHPAY WEB ID: 1930246090",-195.69,ACH_DEBIT,1157.25,,
DEBIT,02/02/2018,"FRED MEYER FRED MEYER CORVALLIS OR   562788  02/02",-1.49,DEBIT_CARD,1352.94,,
DEBIT,02/02/2018,"FRED MEYER FRED MEYER CORVALLIS OR   837527  02/01",-1.99,DEBIT_CARD,1354.43,,
DEBIT,02/02/2018,"SUBWAY        03035730 CORVALLIS OR          02/01",-4.99,DEBIT_CARD,1356.42,,
DEBIT,02/01/2018,"SPRINTAX.COM 6014967 HTTPSWWW.SPRI IL        01/31",-25.95,DEBIT_CARD,1361.41,,
DEBIT,02/01/2018,"SUBWAY        03035730 CORVALLIS OR          01/31",-6.00,DEBIT_CARD,1387.36,,
DEBIT,01/31/2018,"FRED-MEYE FRED MEYER 0 CORVALLIS OR          01/31",-4.47,DEBIT_CARD,1393.36,,
DEBIT,01/31/2018,"USPS PO 40187205 311 S CORVALLIS OR  915023  01/31",-6.70,DEBIT_CARD,1397.83,,
DEBIT,01/31/2018,"FRED-MEYE FRED MEYER 0 CORVALLIS OR          01/31",-285.79,DEBIT_CARD,1404.53,,
DEBIT,01/31/2018,"FRED-MEYE FRED MEYER 0 CORVALLIS OR          01/30",-3.49,DEBIT_CARD,1690.32,,
DEBIT,01/31/2018,"SUBWAY        03035730 CORVALLIS OR          01/30",-4.99,DEBIT_CARD,1693.81,,
CREDIT,01/31/2018,"OSU PAYROLL      PR DEPOSIT                 PPD ID: 9300058016",1616.19,ACH_CREDIT,1698.80,,
DEBIT,01/30/2018,"SUBWAY        03035730 CORVALLIS OR          01/29",-5.99,DEBIT_CARD,82.61,,
DEBIT,01/29/2018,"FRED-MEYE FRED MEYER 0 CORVALLIS OR          01/29",-3.18,DEBIT_CARD,88.60,,
DEBIT,01/29/2018,"3102PEPSIVEN9147678600 CORVALLIS OR          01/28",-1.75,DEBIT_CARD,91.78,,
DEBIT,01/29/2018,"SUBWAY        03035730 CORVALLIS OR          01/28",-4.99,DEBIT_CARD,93.53,,
DEBIT,01/29/2018,"3102PEPSIVEN9147678600 CORVALLIS OR          01/27",-1.75,DEBIT_CARD,98.52,,
DEBIT,01/29/2018,"CAFE YUMM #100007 CORVALLIS OR               01/27",-8.95,DEBIT_CARD,100.27,,
DEBIT,01/29/2018,"PITA PIT - 00-009 CORVALLIS OR               01/26",-5.99,DEBIT_CARD,109.22,,
DEBIT,01/26/2018,"FRED-MEYER #0070 FRED CORVALLIS OR   139173  01/25",-1.99,DEBIT_CARD,115.21,,
DEBIT,01/26/2018,"SUBWAY        03035730 CORVALLIS OR          01/25",-6.00,DEBIT_CARD,117.20,,
DEBIT,01/25/2018,"FRED MEYE FRED MEYER 0 CORVALLIS OR          01/24",-7.77,DEBIT_CARD,123.20,,
DEBIT,01/25/2018,"SUBWAY        03035730 CORVALLIS OR          01/24",-6.00,DEBIT_CARD,130.97,,
DEBIT,01/25/2018,"JERSEY MIKE'S 32015 CORVALLIS OR             01/23",-7.20,DEBIT_CARD,136.97,,
DEBIT,01/24/2018,"SUBWAY        03035730 CORVALLIS OR          01/23",-6.00,DEBIT_CARD,144.17,,
DEBIT,01/23/2018,"SUBWAY        03035730 CORVALLIS OR          01/22",-6.00,DEBIT_CARD,150.17,,
DEBIT,01/22/2018,"FRED MEYE FRED MEYER 0 CORVALLIS OR          01/21",-4.99,DEBIT_CARD,156.17,,
DEBIT,01/22/2018,"3102PEPSIVEN9147678600 CORVALLIS OR          01/21",-1.75,DEBIT_CARD,161.16,,
DEBIT,01/22/2018,"SQ *THE BEAVER HUT Corvallis OR              01/21",-5.00,DEBIT_CARD,162.91,,
DEBIT,01/22/2018,"FRED MEYE FRED MEYER 0 CORVALLIS OR          01/20",-14.91,DEBIT_CARD,167.91,,
DEBIT,01/22/2018,"3102PEPSIVEN9147678600 CORVALLIS OR          01/20",-1.75,DEBIT_CARD,182.82,,
DEBIT,01/22/2018,"SUBWAY        03035730 CORVALLIS OR          01/20",-6.00,DEBIT_CARD,184.57,,
DEBIT,01/22/2018,"FRED MEYER FRED MEYER CORVALLIS OR   820794  01/19",-1.50,DEBIT_CARD,190.57,,
DEBIT,01/22/2018,"PITA PIT - 00-009 CORVALLIS OR               01/19",-5.00,DEBIT_CARD,192.07,,
DEBIT,01/19/2018,"SUBWAY        03035730 CORVALLIS OR          01/18",-6.00,DEBIT_CARD,197.07,,
DEBIT,01/18/2018,"FRED MEYER FRED MEYER CORVALLIS OR   114641  01/18",-1.50,DEBIT_CARD,203.07,,
DEBIT,01/17/2018,"FRED MEYER FRED MEYER CORVALLIS OR   552208  01/17",-2.19,DEBIT_CARD,204.57,,
DEBIT,01/17/2018,"FRED MEYE FRED MEYER 0 CORVALLIS OR          01/17",-3.88,DEBIT_CARD,206.76,,
DEBIT,01/17/2018,"SUBWAY        03035730 CORVALLIS OR          01/16",-6.00,DEBIT_CARD,210.64,,
DEBIT,01/16/2018,"AMAZON MARKETPLA INTERNET   091000014402296 WEB ID: 9049016352",-36.55,ACH_DEBIT,216.64,,
DEBIT,01/16/2018,"AMAZON MARKETPLA INTERNET   091000014165964 WEB ID: 9049016352",-60.03,ACH_DEBIT,253.19,,
DEBIT,01/16/2018,"FRED MEYE FRED MEYER 0 CORVALLIS OR          01/15",-4.99,DEBIT_CARD,313.22,,
DEBIT,01/16/2018,"FOREIGN EXCHANGE RATE ADJUSTMENT FEE         01/15MEGA PRO",-0.18,FEE_TRANSACTION,318.21,,
DEBIT,01/16/2018,"MEGA PRO GLOBAL                              01/15 Euro       4.99 X 1.230461 (EXCHG RTE)",-6.14,DEBIT_CARD,318.39,,
DEBIT,01/16/2018,"SUBWAY        03035730 CORVALLIS OR          01/15",-4.99,DEBIT_CARD,324.53,,
DEBIT,01/16/2018,"FRED MEYER FRED MEYER CORVALLIS OR   526538  01/14",-1.50,DEBIT_CARD,329.52,,
DEBIT,01/16/2018,"SUBWAY        03035730 CORVALLIS OR          01/14",-4.99,DEBIT_CARD,331.02,,
DEBIT,01/16/2018,"FRED MEYE FRED MEYER 0 CORVALLIS OR          01/13",-16.21,DEBIT_CARD,336.01,,
DEBIT,01/16/2018,"FRED MEYE FRED MEYER 0 CORVALLIS OR          01/12",-19.04,DEBIT_CARD,352.22,,
DEBIT,01/16/2018,"EVERGREEN SOUTH AND NOR CORVALLIS OR         01/13",-18.95,DEBIT_CARD,371.26,,
DEBIT,01/16/2018,"PITA PIT - 00-009 CORVALLIS OR               01/12",-5.00,DEBIT_CARD,390.21,,
DEBIT,01/12/2018,"SUBWAY        03035730 CORVALLIS OR          01/11",-6.00,DEBIT_CARD,395.21,,
DEBIT,01/11/2018,"FRED MEYER FRED MEYER CORVALLIS OR   717418  01/10",-2.28,DEBIT_CARD,401.21,,
DEBIT,01/10/2018,"AMAZON           INTERNET   091000013182210 WEB ID: 9049016352",-19.58,ACH_DEBIT,403.49,,
DEBIT,01/10/2018,"CHIPOTLE 1199 CORVALLIS OR                   01/09",-7.15,DEBIT_CARD,423.07,,
DEBIT,01/08/2018,"FRED MEYE FRED MEYER 0 CORVALLIS OR          01/08",-6.28,DEBIT_CARD,430.22,,
DEBIT,01/08/2018,"FRED MEYE FRED MEYER 0 CORVALLIS OR          01/08",-3.29,DEBIT_CARD,436.50,,
DEBIT,01/08/2018,"FRED MEYE FRED MEYER 0 CORVALLIS OR          01/07",-11.20,DEBIT_CARD,439.79,,
DEBIT,01/08/2018,"CARL'S JR #8990 KEIZER OR                    01/06",-5.00,DEBIT_CARD,450.99,,
DEBIT,01/08/2018,"PILOT_00386 Brooks OR                        01/06",-5.00,DEBIT_CARD,455.99,,
DEBIT,01/08/2018,"CHEVRON 0379179 ESTACADA OR                  01/06",-10.00,DEBIT_CARD,460.99,,
DEBIT,01/08/2018,"THE COUNTRY RESTAURANT ESTACADA OR           01/07",-17.20,DEBIT_CARD,470.99,,
DEBIT,01/08/2018,"ENTERPRISE RENT-A-CAR CORVALLIS OR           01/06",-250.00,DEBIT_CARD,488.19,,
DEBIT,01/08/2018,"PITA PIT - 00-009 CORVALLIS OR               01/05",-5.00,DEBIT_CARD,738.19,,
DEBIT,01/08/2018,"SUBWAY        03035730 CORVALLIS OR          01/05",-3.99,DEBIT_CARD,743.19,,
DEBIT,01/08/2018,"O SUSHI PORTLAND OR                          01/04",-16.25,DEBIT_CARD,747.18,,
CREDIT,01/08/2018,"QuickPay with Zelle payment from OVUNC TUZEL 6805602298",35.00,QUICKPAY_CREDIT,763.43,,
DEBIT,01/08/2018,"ENTERPRISE RENT-A-CAR CORVALLIS OR           01/07",155.28,DEBIT_CARD,728.43,,
DEBIT,01/05/2018,"ROCKYMTN/PACIFIC POWER BILL 193689140ACHPAY WEB ID: 1930246090",-198.41,ACH_DEBIT,573.15,,
DEBIT,01/05/2018,"SQ *POBLANO PEPPER VANCOUVER WA              01/04",-9.00,DEBIT_CARD,771.56,,
DEBIT,01/05/2018,"ALASKA AIR  02721598993 SEATTLE WA           01/02",-208.60,DEBIT_CARD,780.56,,
DEBIT,01/04/2018,"FUBONN SU 2850 SE 82ND PORTLAND OR           01/04",-18.86,DEBIT_CARD,989.16,,
DEBIT,01/04/2018,"TRAVEL INSURANCE POLI 800-729-6021 VA        01/03",-21.00,DEBIT_CARD,1008.02,,
DEBIT,01/04/2018,"PRICELINE*AIR TICKETS 800-774-2354 CT        01/04",-7.00,DEBIT_CARD,1029.02,,
DEBIT,01/04/2018,"STARBUCKS B IND INDIANAPOLIS IN              01/02",-10.57,DEBIT_CARD,1036.02,,
DEBIT,01/03/2018,"AVIANCA TRAV13470343857 MIAMI FL             01/02",-598.01,DEBIT_CARD,1046.59,,
DEBIT,01/02/2018,"EITELJORG MUSEUM OF A INDIANAPOLIS IN        12/31",-20.00,DEBIT_CARD,1644.60,,
CREDIT,12/29/2017,"OSU PAYROLL      PR DEPOSIT                 PPD ID: 9300058016",1616.19,ACH_CREDIT,1664.60,,
DEBIT,12/26/2017,"PAYPAL           INST XFER  STEAM GAMES     WEB ID: PAYPALSI77",-19.99,ACH_DEBIT,48.41,,
DEBIT,12/26/2017,"VESTA  *T-MOBILE 888-278-3397 OR             12/26",-25.75,DEBIT_CARD,68.40,,
DEBIT,12/26/2017,"QuickPay with Zelle payment to Ovunc 6772841391",-60.00,QUICKPAY_DEBIT,94.15,,
DEBIT,12/26/2017,"DUNN BROS C MSP ST. PAUL MN                  12/25",-5.04,DEBIT_CARD,154.15,,
DEBIT,12/26/2017,"STIR FRESH PORTLAND OR                       12/24",-25.00,DEBIT_CARD,159.19,,
DEBIT,12/26/2017,"MADE IN OREGON PPL PORTLAND OR               12/24",-18.95,DEBIT_CARD,184.19,,
DEBIT,12/26/2017,"TOMMY HILFIGER WOODBURN OR                   12/24",-83.96,DEBIT_CARD,203.14,,
DEBIT,12/26/2017,"AUNTIE ANNE'S OR103 503-981-2103 OR          12/24",-7.78,DEBIT_CARD,287.10,,
DEBIT,12/26/2017,"FRED MEYE FRED MEYER 0 CORVALLIS OR          12/24",-5.49,DEBIT_CARD,294.88,,
DEBIT,12/26/2017,"FRED MEYE FRED MEYER 0 CORVALLIS OR          12/23",-7.15,DEBIT_CARD,300.37,,
DEBIT,12/26/2017,"3102PEPSIVEN9147678600 CORVALLIS OR          12/22",-1.75,DEBIT_CARD,307.52,,
DEBIT,12/22/2017,"GOODWILL OF CORVAL CORVALLIS OR      418212  12/22",-24.97,DEBIT_CARD,309.27,,
DEBIT,12/22/2017,"FRED MEYE FRED MEYER 0 CORVALLIS OR          12/22",-50.82,DEBIT_CARD,334.24,,
DEBIT,12/22/2017,"3102PEPSIVEN9147678600 CORVALLIS OR          12/21",-1.75,DEBIT_CARD,385.06,,
DEBIT,12/20/2017,"FRED MEYE FRED MEYER 0 CORVALLIS OR          12/20",-3.99,DEBIT_CARD,386.81,,
DEBIT,12/20/2017,"FRED MEYER FRED MEYER CORVALLIS OR   962620  12/20",-1.50,DEBIT_CARD,390.80,,
DSLIP,12/20/2017,"REMOTE ONLINE DEPOSIT #          1",67.00,CHECK_DEPOSIT,392.30,1,
DEBIT,12/19/2017,"FRED MEYE FRED MEYER 0 CORVALLIS OR          12/19",-4.98,DEBIT_CARD,325.30,,
DEBIT,12/18/2017,"FRED MEYE FRED MEYER 0 CORVALLIS OR          12/18",-3.49,DEBIT_CARD,330.28,,
DEBIT,12/18/2017,"FRED MEYE FRED MEYER 0 CORVALLIS OR          12/18",-285.79,DEBIT_CARD,333.77,,
DEBIT,12/18/2017,"FRED MEYE FRED MEYER 0 CORVALLIS OR          12/18",-7.49,DEBIT_CARD,619.56,,
DEBIT,12/18/2017,"FRED MEYE FRED MEYER 0 CORVALLIS OR          12/17",-15.50,DEBIT_CARD,627.05,,
DEBIT,12/15/2017,"FRED MEYE FRED MEYER 0 CORVALLIS OR          12/15",-32.15,DEBIT_CARD,642.55,,
DEBIT,12/15/2017,"7201 Dominos Pizza CORVALLIS OR              12/14",-2.40,DEBIT_CARD,674.70,,
DEBIT,12/15/2017,"SQ *SUGOI SUSHI Corvallis OR                 12/14",-19.74,DEBIT_CARD,677.10,,
DEBIT,12/15/2017,"Bombs Away Cafe Corvallis OR                 12/14",-8.00,DEBIT_CARD,696.84,,
DEBIT,12/12/2017,"FRED MEYER FRED MEYER CORVALLIS OR   825135  12/12",-1.50,DEBIT_CARD,704.84,,
DEBIT,12/12/2017,"SQ *THAI CHILI CORVALLIS OR                  12/11",-12.00,DEBIT_CARD,706.34,,
DEBIT,12/11/2017,"FRED MEYE FRED MEYER 0 CORVALLIS OR          12/11",-4.59,DEBIT_CARD,718.34,,
DEBIT,12/11/2017,"FRED MEYER FRED MEYER CORVALLIS OR   861815  12/10",-2.49,DEBIT_CARD,722.93,,
DEBIT,12/11/2017,"3102PEPSIVEN9147678600 CORVALLIS OR          12/10",-1.75,DEBIT_CARD,725.42,,
DEBIT,12/11/2017,"SUBWAY        03035730 CORVALLIS OR          12/10",-6.00,DEBIT_CARD,727.17,,
DEBIT,12/11/2017,"SHOGUN BOWL CORVALLIS OR                     12/09",-4.85,DEBIT_CARD,733.17,,
DEBIT,12/11/2017,"WINCO FOODS #3 2335 Nw CORVALLIS OR  655059  12/09",-12.67,DEBIT_CARD,738.02,,
DEBIT,12/11/2017,"NEWYORKBAGELS CORVALLIS OR                   12/09",-7.50,DEBIT_CARD,750.69,,
DEBIT,12/11/2017,"3102PEPSIVEN9147678600 CORVALLIS OR          12/08",-1.75,DEBIT_CARD,758.19,,
DEBIT,12/08/2017,"FRED MEYE FRED MEYER 0 CORVALLIS OR          12/08",-21.18,DEBIT_CARD,759.94,,
DEBIT,12/08/2017,"SHOGUN BOWL CORVALLIS OR                     12/07",-9.75,DEBIT_CARD,781.12,,
DEBIT,12/07/2017,"FRED MEYER FRED MEYER CORVALLIS OR   905836  12/07",-1.50,DEBIT_CARD,790.87,,
DEBIT,12/07/2017,"3102PEPSIVEN9147678600 CORVALLIS OR          12/06",-1.75,DEBIT_CARD,792.37,,
DEBIT,12/06/2017,"FRED MEYE FRED MEYER 0 CORVALLIS OR          12/06",-8.69,DEBIT_CARD,794.12,,
DEBIT,12/05/2017,"OVERSITY LIMITED IAT PAYPAL 1002153317432   WEB ID: 770510487C",-4.17,ACH_DEBIT,802.81,,
DEBIT,12/05/2017,"AMAZON MARKETPLA INTERNET   091000018823832 WEB ID: 9049016352",-35.33,ACH_DEBIT,806.98,,
DEBIT,12/05/2017,"FRED MEYE FRED MEYER 0 CORVALLIS OR          12/05",-4.49,DEBIT_CARD,842.31,,
DEBIT,12/05/2017,"3102PEPSIVEN9147678600 CORVALLIS OR          12/04",-1.75,DEBIT_CARD,846.80,,
DEBIT,12/05/2017,"INDOOR SPORTS PARK 541-757-0776 OR           12/03",-44.40,DEBIT_CARD,848.55,,
DEBIT,12/04/2017,"ROCKYMTN/PACIFIC POWER BILL 850191621ACHPAY WEB ID: 1930246090",-132.34,ACH_DEBIT,892.95,,
DEBIT,12/04/2017,"FRED MEYE FRED MEYER 0 CORVALLIS OR          12/04",-9.78,DEBIT_CARD,1025.29,,
DEBIT,12/04/2017,"FRED MEYER FRED MEYER CORVALLIS OR   633353  12/04",-2.10,DEBIT_CARD,1035.07,,
DEBIT,12/04/2017,"FRED MEYER FRED MEYER CORVALLIS OR   224320  12/03",-1.50,DEBIT_CARD,1037.17,,
DEBIT,12/04/2017,"3102PEPSIVEN9147678600 CORVALLIS OR          12/03",-1.75,DEBIT_CARD,1038.67,,
DEBIT,12/04/2017,"FRED MEYE FRED MEYER 0 CORVALLIS OR          12/02",-9.18,DEBIT_CARD,1040.42,,
DEBIT,12/04/2017,"FRED MEYER FRED MEYER CORVALLIS OR   860815  12/02",-1.89,DEBIT_CARD,1049.60,,
DEBIT,12/04/2017,"FRED MEYER FRED MEYER CORVALLIS OR   550131  12/02",-2.49,DEBIT_CARD,1051.49,,
DEBIT,12/01/2017,"FRED MEYE FRED MEYER 0 CORVALLIS OR          11/30",-4.99,DEBIT_CARD,1053.98,,
DEBIT,12/01/2017,"SQ *SAFFRON KABOB Corvallis OR               11/30",-10.80,DEBIT_CARD,1058.97,,
DEBIT,11/30/2017,"USPS PO 40187205 311 S CORVALLIS OR  629310  11/30",-18.00,DEBIT_CARD,1069.77,,
DEBIT,11/30/2017,"FRED MEYE FRED MEYER 0 CORVALLIS OR          11/30",-285.79,DEBIT_CARD,1087.77,,
DEBIT,11/30/2017,"Online Transfer 6706122014 to bbam #######9101 transaction #: 6706122014 11/30",-200.00,ACCT_XFER,1373.56,,
CREDIT,11/30/2017,"OSU PAYROLL      PR DEPOSIT                 PPD ID: 9300058016",1616.19,ACH_CREDIT,1573.56,,
DEBIT,11/29/2017,"INSUFFICIENT FUNDS FEE FOR A $8.26 CARD PURCHASE WITH PIN - DETAILS:       1129FRED MEYE FRED MEYER 0 CORVALLIS OR  04867967026299192",-34.00,FEE_TRANSACTION,-42.63,,
DEBIT,11/29/2017,"FRED MEYE FRED MEYER 0 CORVALLIS OR          11/29",-8.26,DEBIT_CARD,-8.63,,
DEBIT,11/27/2017,"PAYPAL           INST XFER  STEAM GAMES     WEB ID: PAYPALSI77",-7.49,ACH_DEBIT,-0.37,,
DEBIT,11/27/2017,"VESTA  *T-MOBILE 888-278-3397 OR             11/26",-25.75,DEBIT_CARD,7.12,,
DEBIT,11/27/2017,"PAYPAL           INST XFER  NEWEGGCOM       WEB ID: PAYPALSI77",-349.00,ACH_DEBIT,32.87,,
DEBIT,11/24/2017,"FRED MEYE FRED MEYER 0 CORVALLIS OR          11/23",-32.63,DEBIT_CARD,381.87,,
DEBIT,11/24/2017,"FRED MEYE FRED MEYER 0 CORVALLIS OR          11/22",-3.88,DEBIT_CARD,414.50,,
DEBIT,11/22/2017,"FRED MEYE FRED MEYER 0 CORVALLIS OR          11/21",-5.49,DEBIT_CARD,418.38,,
